row_id,designers
147020,Robert Dougherty
147020,Darwin Kastle
209418,Donald X. Vaccarino
266524,Henry Audubon
14996,Alan R. Moon
161970,Matúš Kotry
358661,Luke Laurie
358661,Maximus Laurie
268864,Trevor Benjamin
268864,David Thompson (I)
249259,Trevor Benjamin
249259,David Thompson (I)
262712,Thomas Lehmann
400602,Stefan Feld
271324,Frédéric Guérard
77423,Nate French
274364,Matthias Cramer
34635,Bernd Brunnhofer
328871,Sydney Engelstein
328871,Jacob Fryxelius
328871,Nick Little (I)
294484,Rob Daviau
294484,Justin D. Jacobson
294484,Chris Leder
294484,Kevin Rodgers
148949,Rüdiger Dorn
308765,Vladimír Suchý
271896,Corey Konieczka
271896,Tony Fanchi
364011,Alexander Pfister
281259,Frank West
82222,Cody Miller
296151,S J Macdonald
296151,Shem Phillips
146652,Ben Cichoski
146652,Daniel Mandel
127023,Jacques Bariot
127023,Guillaume Montiage
2511,Raymond Edwards
2511,Suzanne Goldberg
2511,Gary Grady
283948,Simone Luciani
283948,Daniele Tascini
54043,Sébastien Pauchon
103885,Jay Little
316377,Antoine Bauza
244522,Wolfgang Warsch
265188,Matthias Cramer
233398,Carl de Visser
233398,Jarratt Gray
329082,Daniel Piechnick
350184,Maxime Tardif
283355,Bill Eberle
283355,Jack Kittredge
283355,Peter Olotka
339789,Alexis Allard
339789,Benoit Turpin
420033,Jamey Stegmaier
356080,Josh J. Carlson
356080,Michael Gernes
356080,Logan Giannini
356080,Ryan Howard
356080,Salem Scott
356080,Josh Wielgus
314491,Klemens Kalicki
332686,Cole Wehrle
43111,Eric M. Lang
188920,Michał Oracz
188920,Jakub Wiśniewski
374173,Caleb Grace
9609,Roberto Di Meglio
9609,Marco Maggi
9609,Francesco Nepitello
10630,Richard Borg
118,Reiner Knizia
227224,Isra C.
227224,Shei S.
199561,Adrian Adamescu
199561,Daryl Andrews
242302,John D. Clair
416851,Grégory Grard
416851,Mathieu Roussel
256680,Tim Burrell-Saward
256680,Isaac Childres
256680,Noah Cohen
256680,Rob Daviau
256680,Justin D. Jacobson
256680,Brian Neff
104162,Daniel Clark (I)
104162,Corey Konieczka
104162,Adam Sadler
104162,Kevin Wilson
342070,Dave Chalker
342070,Brett Myers
342070,Noah Cohen
342070,Rob Daviau
342070,Justin D. Jacobson
342070,Jim Keifer
342070,Brian Neff
39463,Bill Eberle
39463,Jack Kittredge
39463,Bill Norton
39463,Peter Olotka
39463,Kevin Wilson
25021,Matt Calkins
299659,Christian Marcussen
155426,Ted Alspach
300531,Peter Rustemeyer
188,(Uncredited)
128882,Don Eskridge
103343,Christian T. Petersen
31627,Alan R. Moon
822,Klaus-Jürgen Wrede
287954,Michael Kiesling
17133,Glenn Drover
17133,Martin Wallace
282524,Prospero Hall
282524,Peter Lee
148228,Marc André
70149,Uwe Rosenberg
171131,Roberto Fraga
171131,Yohan Lemonnier
104006,Inka Brand
104006,Markus Brand
269207,Wolfgang Warsch
123260,Ted Alspach
215,Urs Hostettler
14105,Richard Borg
150376,Jonathan Gilmour-Long
150376,Isaac Vega
285967,Eric M. Lang
241451,Jenny Iglesias
241451,Nick Little (I)
241451,Kevin Riley
293014,Serge Laget
385761,Johannes Goupy
385761,Corentin Lebrat
367220,Bruno Cathala
367220,Théo Rivière
9209,Alan R. Moon
7854,Kris Burm
400366,Yeom.C.W
165722,Mikkel Bertelsen
367150,Marco Maggi
367150,Francesco Nepitello
91,Ted Raicer
245638,Flaminia Brasini
245638,Virginio Gigli
182631,Robert Dougherty
182631,Darwin Kastle
306735,Tomáš Uhlíř
188834,Mike Boxleiter
188834,Tommy Maranges
188834,Max Temkin
260605,Steffen Bogen
295486,Reiner Knizia
283155,Kevin Russ
54998,Bruno Cathala
54998,Ludovic Maublanc
329839,François Romain
126042,Rustan Håkansson
126042,Nina Håkansson
126042,Einar Rosén
126042,Robert Rosén
223040,Bruce Glassco
224037,Vlaada Chvátil
224037,Scot Eaton
295895,Dave Beck
146886,Michael Keller (II)
146886,Andreas Odendahl
232832,Emerson Matsuuchi
195421,Ryan Laukat
21050,Chad Jensen
221194,Jonathan Gilmour-Long
221194,Brian Lewis
375459,Vital Lacerda
129437,Devin Low
158600,Kota Nakayama (中山 宏太)
3,Reiner Knizia
351913,Simone Luciani
351913,Daniele Tascini
192291,Phil Walker-Harding
232405,Hervé Lemaître
176189,Raphaël Guiton
176189,Jean-Baptiste Lullien
176189,Nicolas Raoult
199478,Asger Aleksandrov Granerud
156129,Tobey Ho
318977,Johannes Sich
176494,Andreas Pelikan
176494,Alexander Pfister
150145,Brent Beck
150145,Jeffrey Beck
19857,Ed Carter (III)
19857,Carl Chudyk
274637,Rob Daviau
274637,Justin D. Jacobson
286096,Jamey Stegmaier
169426,Keith Matejka
224783,Marc Neidlinger
311193,Martin Wallace
284189,Emerson Matsuuchi
300322,Uwe Rosenberg
156546,Alex Hague
156546,Justin Vickers
555,Wolfgang Kramer
555,Richard Ulrich
555,Jens Christopher Ulrich
323612,Germán P. Millán
270633,Jenny Iglesias
270633,Nick Little (I)
270633,Kevin Riley
198994,Robert Dougherty
198994,Darwin Kastle
297562,Jacques Bariot
297562,Guillaume Montiage
228341,Vladimír Suchý
194655,Gord!
329500,Laskas
329500,Jonny Pac
329500,Yoma
329500,Antonio Zax
9216,Rüdiger Dorn
421,Bruce Shelley
421,Francis Tresham
277085,Seiji Kanai
277085,Justin Kemppainen
277085,Alexandar Ortloff-Tang
20551,Dirk Henn
109276,Vital Lacerda
19777,Jeroen Doumen
19777,Joris Wiersinga
31481,Vlaada Chvátil
230253,Robert Dougherty
230253,Darwin Kastle
128621,Jamey Stegmaier
128621,Alan Stone
400314,Connie Vogelmann
356123,Fabien Gridel
356123,Yoann Levet
244271,Nate Chatellier
244271,Manny Trembley
284653,Jay Cormier
284653,Sen-Foong Lim
349067,Nate French
