bgg_id,best,recommended,not_recommended
305096,3,2,4+
144344,3,2,1
223321,2,3,5+
262211,2,1,4+
27833,4,3,1
50,2,2,1
239188,2,1,4+
350316,2,1,4
342810,3,2,1
139976,4,3,1
46213,8,6,1
108745,2,3,1
92828,6,4,2
385529,3,2,1
332800,2,2,1
146508,4,3,1
172,5,3,1
257499,3,2,6
160477,2,2,2+
111341,4,5,1
302723,5,3,7+
350933,2,4,4+
333255,2,1,4+
5,4,3,1
276182,3,2,4+
295374,4,2,8+
155068,4,3,1
66589,4,3,1
129622,4,3,1
176734,4,3,5+
308119,2,4,1
24181,4,3,1
446497,5,4,1
319966,3,2,1
97207,4,3,1
345972,4,3,1
260180,3,4,4+
2653,4,3,1
311988,1,2,4+
47,5,4,2
38453,5,3,1
54,4,3,1
63888,2,3,5
379078,3,2,5
184921,4,3,1
411567,5,4,1
234277,1,2,5+
209685,3,2,1
22545,4,3,1
136888,3,2,1
143693,2,3,4+
227789,4,2,1
155873,4,3,1
354934,1,1+,1+
163967,3,2,5
202426,6,4,2
245655,5,4,1
154203,2,3,4+
336986,3,2,5+
188866,4,3,8+
301880,3,1,4+
54138,4,3,1
181279,5,4,1
336382,3,1,5+
187617,1,2,4
40692,4,3,1
93260,2,4,1
285192,2,1,3+
219650,2,1,4+
318084,4,2,1
48726,3,2,1
271601,8,6,1
59294,4,2,1
434654,2,1,2+
203420,2,1,6
21241,2,4,1
246192,3,2,1
304420,3,2,4+
25292,4,2,1
172081,3,1,4+
345584,2,2+,1
384213,4,2,4+
219513,4,2,1
247367,2,1,2+
172818,3,2,1
274638,2,1,1
39856,6,4,2
193037,4,3,1
77130,4,3,1
397385,3,4,4+
176920,4,3,1
368173,3,2,4+
128271,3,4,5
297030,3,2,4+
372,2,2,1
40354,3,2,1
140934,2,3,1
45315,4,3,1
59959,2,3,1
13122,2,4,1
70919,3,2,1
155987,4,2,1
351040,6,4,2
8217,3,2,1
199042,4,2,4+
246684,5,4,2
245934,3,2,1
181304,5,4,1
334986,2,3,4+
417197,3,2,1
90137,4,3,1
408180,3,2,4+
357563,3,4,4+
195539,4,3,1
146439,2,2,1
319910,2,2,2+
119890,2,1,2+
303057,3,2,1
318182,1,2,4
37046,4,3,4+
315767,3,1,30+
334590,1,1+,1+
41114,7,6,1
171,2,1,2+
436126,2,4,5+
552,4,3,2
269210,2,3,4+
24480,4,3,1
25554,3,5,1
244711,3,2,4+
163745,2,2+,1
290484,2,1,4+
260428,3,2,5+
284742,3,2,4+
177478,4,3,1
206480,2,1,2+
386368,3,2,4+
385610,4,2,1
365258,3,2,5
234487,3,2,5
15987,4,3,8+
39683,2,1,4+
250458,3,2,5+
9217,4,3,1
342900,2,1,4+
335764,2,3,1
192458,2,3,4+
367498,2,1,3+
322708,4,3,4+
234,2,1,1
222509,4,3,1
343905,3,2,4+
92415,5,4,2
70323,4,3,1
352515,4,3,1
318243,4,2,1
194594,4,2,1
236191,3,2,1
368305,2,3,4
286751,3,2,6+
101721,2,2+,1
454103,6,4,1
367041,3,1,4+
315610,3,1,6
258210,2,1,2+
379629,3,2,1
381297,2,1,4+
198773,6,5,1
316412,2,1,4+
128671,4,3,2
298069,4,2,1
31594,4,3,1
215311,6,5,1
21348,4,2,1
256226,3,2,1
328565,2,2,2+
356033,5,3,6+
381248,4,3,5+
33160,5,3,1
34219,3,2,1
420087,5,3,1
292375,3,2,4+
293141,4,3,1
1,5,4,2
166669,3,2,1
138161,3,2,4+
265736,3,2,6+
151347,4,2,1
150,6,3,1
144592,4,2,1
262543,6,7,1
325635,2,1,1
71,7,5,2
220,4,3,2
355093,3,2,4+
156858,3,2,5+
182134,4,3,1
503,3,2,1
66188,4,3,1
338834,2,1,4+
229220,3,2,4+
100901,4,2,6+
186751,2,4,4+
17392,6,3,1
353288,3,2,4+
170771,2,4,5+
251658,1,2,4+
27162,4,3,1
11,5,3,1
54625,2,2+,1
154809,4,3,1
18833,2,2,1
55670,3,2,1
204305,2,1,8+
62222,2,1,1
192153,4,2,4+
12942,5,3,1
161614,5,3,1
158899,5,4,1
144189,4,1,4+
124708,4,3,4+
40765,4,2,1
404431,3,2,4+
216600,3,1,5+
359438,4,2,4+
205398,5,4,1
264241,2,1,2+
307002,2,1,4+
295564,2,4,1
383607,3,2,4
175095,1,2,5
63628,4,3,1
290359,2,1,2+
96913,4,5,2
11170,2,3,1
269144,4,3,1
36932,2,2+,2+
121,6,5,2
256952,4,2,4+
215341,2,3,4+
243,2,1,2+
283393,3,2,1
66362,4,2,1
353545,2,1,4+
239942,4,3,1
422732,2,4,1
176396,4,2,1
293296,3,4,1
79828,2,1,2+
242705,1,3,4+
478,5,4,1
169427,4,3,4+
194607,2,3,1
43570,1,1+,1+
15062,6,4,2
256730,3,2,1
290236,4,2,5+
180974,3,2,1
98778,4,5,1
20437,4,3,1
270844,2,1,4+
274960,3,2,1
5404,5,4,2
226522,2,1,4+
136063,4,2,5+
340466,5,4,2
233312,4,3,4+
137408,4,2,1
162082,3,2,1
25417,2,2+,1
21790,3,2,1
157969,5,4,2
193042,4,3,1
6249,3,2,1
150658,3,2,5+
83330,5,3,1
13,4,3,1
266830,5,4,1
240196,5,3,2
348450,3,2,4+
371330,3,2,4+
371433,4,3,1
191862,4,3,1
17226,5,3,1
