row_id,categories
224517,Age of Reason
224517,Economic
224517,Industry / Manufacturing
224517,Post-Napoleonic
224517,Trains
224517,Transportation
342942,Animals
342942,Card Game
342942,Environmental
161936,Environmental
161936,Medical
174430,Adventure
174430,Exploration
174430,Fantasy
174430,Fighting
174430,Miniatures
397598,Movies / TV / Radio theme
397598,Novel-based
397598,Science Fiction
316554,Movies / TV / Radio theme
316554,Novel-based
316554,Political
316554,Science Fiction
233078,Civilization
233078,Economic
233078,Exploration
233078,Negotiation
233078,Political
233078,Science Fiction
233078,Space Exploration
233078,Territory Building
233078,Wargame
115746,Fantasy
115746,Fighting
115746,Novel-based
115746,Territory Building
115746,Wargame
167791,Civilization
167791,Economic
167791,Environmental
167791,Industry / Manufacturing
167791,Science Fiction
167791,Space Exploration
167791,Territory Building
187645,Civil War
187645,Movies / TV / Radio theme
187645,Science Fiction
187645,Space Exploration
187645,Wargame
162886,Environmental
162886,Fantasy
162886,Mythology
162886,Territory Building
291457,Adventure
291457,Exploration
291457,Fantasy
291457,Fighting
291457,Miniatures
220308,Civilization
220308,Economic
220308,Science Fiction
220308,Space Exploration
220308,Territory Building
12333,Modern Warfare
12333,Political
12333,Wargame
84876,Animals
84876,Dice
84876,Medieval
84876,Territory Building
418059,Science Fiction
418059,Space Exploration
338960,Adventure
338960,Card Game
338960,Fantasy
338960,Fighting
338960,Video Game Theme
182028,Card Game
182028,Civilization
182028,Economic
421006,Card Game
421006,Fantasy
421006,Novel-based
193738,American West
193738,Animals
295770,Adventure
295770,Exploration
295770,Fantasy
295770,Fighting
295770,Miniatures
28720,Age of Reason
28720,Economic
28720,Educational
28720,Industry / Manufacturing
28720,Post-Napoleonic
28720,Transportation
246900,Civilization
246900,Exploration
246900,Science Fiction
246900,Space Exploration
246900,Territory Building
246900,Wargame
173346,Ancient
173346,Card Game
173346,City Building
173346,Civilization
173346,Economic
167355,Adventure
167355,Horror
167355,Miniatures
167355,Science Fiction
169786,Economic
169786,Fighting
169786,Science Fiction
