row_id,type,name,min_players,max_players,playingtime,minimum_age,release_year,average_rating,num_of_ratings,weight,num_of_weights,bayes_average,std_deviation,language_dependency,owned,trading,wanting,wishing,rank_boardgame
342274,boardgameexpansion,Onitama: Light and Shadow,2,2,20,8,2022,7.42923,313,3.0,3,5.71081,1.37051,1: No necessary in-game text,2508,11,85,387,
342501,boardgameexpansion,Paleo: A New Beginning,2,4,60,10,2021,8.23804,1004,3.1935,31,6.27319,1.16273,2: Some necessary text - easily memorized or small crib sheet,6413,29,65,481,
342563,boardgameexpansion,ROVE: Fascinating Flora,1,1,15,8,2021,7.64578,154,1.5,2,5.633,1.08205,1: No necessary in-game text,1602,21,12,46,
342635,boardgameexpansion,Tsukuyumi: Full Moon Down (Second Edition) – Kickstarter Exclusives,2,4,180,12,2021,7.6697,33,3.0,1,5.52794,1.52584,1: No necessary in-game text,400,22,0,4,
342671,boardgameexpansion,Marvel Champions: The Card Game – War Machine Hero Pack,1,4,90,14,2021,8.06703,643,2.6,5,6.03155,1.16187,5: Unplayable in another language,6227,19,84,281,
342705,boardgameexpansion,The Witcher: Old World – Ciri,1,5,150,14,2023,8.44082,376,3.0,3,5.83804,1.35803,1: No necessary in-game text,2960,17,31,91,
342738,boardgameexpansion,Escape Room: The Game – Tomb Robbers,2,5,60,16,2021,7.09286,56,2.0,1,5.53659,1.3891,1: No necessary in-game text,362,6,10,32,
342767,boardgameexpansion,Meadow: Bigfoot Promo Card,1,4,90,10,2021,8.16446,148,2.0,2,5.64898,1.31496,1: No necessary in-game text,1105,15,49,82,
342988,boardgameexpansion,Café: Lisboa Promo Card,1,4,45,8,2021,7.53065,62,2.0,1,5.5511,1.26804,1: No necessary in-game text,412,38,7,15,
343017,boardgameexpansion,Marvel Champions: The Card Game – The Hood Scenario Pack,1,4,90,14,2021,8.14411,679,2.8,5,6.05919,1.22371,5: Unplayable in another language,6600,18,59,276,
343277,boardgameexpansion,Cascadia: Kickstarter Promo Cards,1,4,45,10,2021,7.72509,809,1.9091,11,6.06005,1.18009,2: Some necessary text - easily memorized or small crib sheet,5329,41,85,188,
343368,boardgameexpansion,Conspiracy: Abyss Universe – Bonus Cards,2,4,30,8,2021,7.48596,57,1.0,1,5.54433,1.24188,1: No necessary in-game text,358,71,3,31,
343468,boardgameexpansion,Viscounts of the West Kingdom: Gates of Gold,1,4,90,12,2022,8.0303,617,3.7143,14,6.00676,1.16451,1: No necessary in-game text,4963,26,61,312,
343470,boardgameexpansion,Viscounts of the West Kingdom: Keeper of Keys,1,4,90,12,2022,7.96838,643,3.6429,14,6.01544,1.21537,1: No necessary in-game text,4988,29,62,291,
343489,boardgameexpansion,Architects of the West Kingdom: Crossover Promo Pack,1,6,80,12,2022,7.8373,185,2.8,5,5.66462,1.35789,1: No necessary in-game text,2034,19,28,87,
343598,boardgameexpansion,Dune: Imperium – Boundless Ambition Promo Card,1,4,120,14,2021,8.1205,458,2.6667,6,5.90077,1.5089,3: Moderate in-game text - needs crib sheet or paste ups,3359,62,91,182,
343679,boardgameexpansion,Streets: Kickstarter Promo Pack,1,5,60,10,2021,6.94565,46,2.0,2,5.52707,1.16203,1: No necessary in-game text,624,15,5,8,
344066,boardgameexpansion,Smash Up: Knights of the Round Table,2,4,45,14,2021,7.77052,101,2.0,2,5.58432,1.28101,1: No necessary in-game text,778,10,39,205,
344168,boardgameexpansion,Fighters of the Pacific: Battle of Midway,1,8,240,14,2022,7.77273,33,2.0,2,5.52287,1.51783,3: Moderate in-game text - needs crib sheet or paste ups,316,5,11,22,
344409,boardgameexpansion,Psycho Killer: Gratuitous Violence!!!,2,6,30,13,2021,7.75208,48,2.0,1,5.53719,1.46259,1: No necessary in-game text,336,6,3,23,
344410,boardgameexpansion,Psycho Killer: Z,2,6,30,13,2021,7.49512,41,2.0,1,5.52968,1.44272,1: No necessary in-game text,315,6,3,21,
344428,boardgameexpansion,Power Grid: Europe/North America,2,6,120,12,2021,8.17368,95,3.0,3,5.59888,1.40819,1: No necessary in-game text,935,4,57,177,
344429,boardgameexpansion,Power Grid: The New Power Plants – Set 2,2,6,120,12,2021,7.78727,144,3.0,4,5.63227,1.35723,1: No necessary in-game text,1498,5,56,196,
344481,boardgameexpansion,Legendary: A Marvel Deck Building Game – Messiah Complex,1,5,90,14,2022,8.33854,205,3.0,3,5.70448,1.24753,1: No necessary in-game text,1491,5,50,213,
344634,boardgameexpansion,Terraforming Mars: Ares Expedition – Promo Cards,1,4,60,14,2021,7.7663,441,2.9,10,5.83906,1.57456,3: Moderate in-game text - needs crib sheet or paste ups,2985,30,49,91,
344735,boardgameexpansion,Roll Camera!: The B-Movie Expansion,1,6,90,10,2022,7.89855,272,2.0,3,5.73978,1.13985,4: Extensive use of text - massive conversion needed to be playable,2318,20,34,111,
345286,boardgameexpansion,Minigolf Designer: Putt of No Return Expansion,1,5,90,10,2021,7.8971,69,2.0,1,5.56993,1.21774,1: No necessary in-game text,309,3,8,24,
345378,boardgameexpansion,The Witcher: Old World – Mounted Eredin Miniature,1,5,150,14,2023,7.82014,278,3.3333,3,5.68087,1.70043,1: No necessary in-game text,3001,17,20,59,
345587,boardgameexpansion,Marvel Champions: The Card Game – Valkyrie Hero Pack,1,4,90,14,2021,7.33483,534,3.0,3,5.81805,1.61066,5: Unplayable in another language,5796,15,58,231,
345692,boardgameexpansion,"Dune: Imperium – Duncan, Loyal Blade Promo Card",1,4,120,0,2021,8.13625,240,2.6,5,5.72466,1.65156,3: Moderate in-game text - needs crib sheet or paste ups,1940,27,125,254,
346071,boardgameexpansion,Barrage: Executive Officer Promo C,1,5,120,12,2021,7.99276,167,3.3333,3,5.6611,1.54903,1: No necessary in-game text,2390,6,24,65,
346078,boardgameexpansion,Lorenzo Il Magnifico: Promo Visconti/Della Scala,2,5,120,12,2021,7.61783,60,2.0,1,5.55122,1.6198,1: No necessary in-game text,641,10,28,46,
346083,boardgameexpansion,Dune: CHOAM & Richese,3,6,120,14,2022,8.08296,314,4.0,14,5.75937,1.51318,1: No necessary in-game text,2943,20,44,319,
346129,boardgameexpansion,Terraforming Mars: Harvest Promo Card,1,5,180,12,2021,8.00658,187,3.1429,7,5.66662,1.67728,4: Extensive use of text - massive conversion needed to be playable,1956,36,45,99,
346136,boardgameexpansion,Sea of Legends: Vengeance of the Empires,1,5,160,14,2024,8.1197,45,3.0,1,5.54107,1.66744,1: No necessary in-game text,447,5,4,41,
346146,boardgameexpansion,Eleven: Unique set up deck,1,4,120,14,2022,6.96316,38,3.0,1,5.52041,2.06059,1: No necessary in-game text,468,11,7,21,
